Stage,Date,Team1,Team2,T1score,T2score,T1goalsH1,T2goalsH1,T1goalsH2,T2goalsH2,T1cardsYel,T2cardsYel,T1cardsRed,T2cardsRed,T1corners1H,T2corners1H,T1corners2H,T2corners2H,T1cornersTotal,T2cornersTotal,CornersTotal,T1xG,T2xG,T1shots,T2shots,T1shotsOnTarget,T2shotsOnTarget,T1fouls,T2fouls
Group Stage,11/06/2026,Mexico,South Africa,2,0,1,0,1,0,1,2,1,2,2,1,1,0,3,1,4,1.46,0.07,16,3,4,2,12,11
Group Stage,12/06/2026,South Korea,Czech Republic,2,1,0,0,2,1,1,0,0,0,3,3,1,2,4,5,9,2.30,0.83,15,7,6,4,9,16
Group Stage,12/06/2026,Canada,Bosnia & Herzegovina,1,1,0,1,1,0,2,3,0,0,9,1,0,3,9,4,13,1.25,0.98,13,8,4,3,10,20
Group Stage,13/06/2026,USA,Paraguay,4,1,3,0,1,1,1,5,0,0,2,0,1,1,3,1,4,1.42,0.54,16,9,6,1,13,17
Group Stage,13/06/2026,Qatar,Switzerland,1,1,0,1,1,0,2,1,0,0,3,4,0,6,3,10,13,0.60,3.20,6,26,3,7,12,11
Group Stage,13/06/2026,Brazil,Morocco,1,1,1,1,0,0,2,0,0,0,2,0,4,2,6,2,8,1.26,1.37,12,14,5,3,16,14
Group Stage,14/06/2026,Haiti,Scotland,0,1,0,1,0,0,1,3,0,0,0,0,4,3,4,3,7,1.05,1.05,15,9,2,2,23,21
Group Stage,14/06/2026,Australia,Turkey,2,0,1,0,1,0,0,1,0,0,2,2,3,6,5,8,13,1.18,1.36,9,30,4,8,12,4
Group Stage,14/06/2026,Germany,Curacao,7,1,3,1,4,0,0,0,0,0,6,0,2,1,8,1,9,4.22,0.41,26,8,12,2,18,11
Group Stage,14/06/2026,Netherlands,Japan,2,2,0,0,2,2,3,0,0,0,3,1,2,3,5,4,9,0.78,0.59,10,10,6,3,7,7
Group Stage,15/06/2026,Ivory Coast,Ecuador,1,0,0,0,1,0,3,1,0,0,2,0,1,5,3,5,8,1.52,1.01,15,12,4,1,10,13
Group Stage,15/06/2026,Sweden,Tunisia,5,1,2,1,3,0,0,1,0,0,2,0,2,2,4,2,6,1.33,0.28,13,6,7,2,10,8
Group Stage,15/06/2026,Spain,Cape Verde,0,0,0,0,0,0,1,1,0,0,4,0,7,1,11,1,12,2.10,0.20,27,6,7,1,10,1
Group Stage,15/06/2026,Belgium,Egypt,1,1,0,1,1,0,2,2,0,0,0,4,2,3,2,7,9,1.35,1.08,15,14,3,3,15,15
Group Stage,15/06/2026,Saudi Arabia,Uruguay,1,1,1,0,0,1,1,0,0,0,4,2,0,12,4,14,18,0.66,1.72,7,27,3,10,11,6
Group Stage,16/06/2026,Iran,New Zealand,2,2,1,1,1,1,1,0,0,0,0,1,4,0,4,1,5,1.50,1.24,17,14,4,8,10,8
Group Stage,16/06/2026,France,Senegal,3,1,0,0,3,1,0,0,0,0,3,2,3,2,6,4,10,1.79,0.53,11,6,8,2,5,9
Group Stage,16/06/2026,Iraq,Norway,1,4,1,2,0,2,1,0,0,0,2,2,0,3,2,5,7,0.80,2.52,11,12,1,5,12,13
Group Stage,17/06/2026,Argentina,Algeria,3,0,1,0,2,0,0,0,0,0,0,2,2,0,2,2,4,1.26,0.32,10,7,6,0,13,8
Group Stage,17/06/2026,Austria,Jordan,3,1,1,0,2,1,1,0,0,0,1,3,3,0,4,3,7,1.66,0.53,11,11,4,4,12,7
Group Stage,17/06/2026,Portugal,D.R. Congo,1,1,1,1,0,0,3,1,0,0,1,3,4,1,5,4,9,0.65,0.87,7,8,1,2,9,10
Group Stage,17/06/2026,England,Croatia,4,2,2,2,2,0,0,0,0,0,3,1,5,1,8,2,10,3.20,0.70,22,10,11,5,10,12
Group Stage,18/06/2026,Ghana,Panama,1,0,0,0,1,0,1,2,0,0,0,0,2,2,2,2,4,1.31,0.73,8,11,2,4,9,11
Group Stage,18/06/2026,Uzbekistan,Colombia,1,3,0,1,1,2,1,1,0,0,1,2,2,2,3,4,7,1.16,1.61,8,15,2,4,14,11
Group Stage,18/06/2026,Czech Republic,South Africa,1,1,1,0,0,1,1,2,0,0,2,3,3,2,5,5,10,1.02,1.38,14,17,3,4,12,10
Group Stage,18/06/2026,Switzerland,Bosnia & Herzegovina,4,1,0,0,4,1,1,2,0,1,4,2,3,1,7,3,10,2.06,0.23,13,5,7,3,7,18
Group Stage,18/06/2026,Canada,Qatar,6,0,3,0,3,0,1,1,0,2,5,1,14,0,19,1,20,4.60,0.22,32,2,10,0,9,10
Group Stage,19/06/2026,Mexico,South Korea,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,2,2,0.53,0.91,8,9,4,2,9,7
Group Stage,19/06/2026,USA,Australia,2,0,2,0,0,0,3,4,0,0,3,2,4,2,7,4,11,1.08,0.35,10,5,2,2,12,16
Group Stage,19/06/2026,Scotland,Morocco,0,1,0,1,0,0,1,1,0,0,0,3,2,2,2,5,7,0.51,0.99,6,12,0,2,11,8
Group Stage,20/06/2026,Brazil,Haiti,3,0,3,0,0,0,1,3,0,0,4,1,0,3,4,4,8,1.75,0.23,8,7,5,3,13,14
Group Stage,20/06/2026,Turkey,Paraguay,0,1,0,1,0,0,1,1,0,1,5,0,7,0,12,0,12,2.17,0.32,32,7,5,2,14,15
Group Stage,20/06/2026,Netherlands,Sweden,5,1,2,0,3,1,0,3,0,0,1,2,1,3,2,5,7,2.61,1.01,10,16,7,8,9,12
