player,country,GP,GS,MP,CS,GA,SOG,SV,SVPCT,PKG,PK,PKSV,YC,RC,saves_per_match,stage_reached
Unai Simon,ESP,8,8,750,7,1,52,10,19,0,0,-,0,0,1.25,Reached Round of 16+
Mike Maignan,FRA,8,8,720,4,10,66,13,20,3,3,-,0,0,1.625,Reached Round of 16+
Raul Rangel,MEX,5,5,438,4,3,34,8,24,1,1,-,0,0,1.6,Reached Round of 16+
Camilo Vargas,COL,5,5,480,4,1,42,5,12,0,0,-,0,0,1.0,Reached Round of 16+
Emiliano Martinez,ARG,8,8,810,3,8,75,20,27,0,0,-,0,0,2.5,Reached Round of 16+
Alisson,BRA,5,5,450,2,4,46,14,30,0,0,-,0,0,2.8,Reached Round of 16+
Jordan Pickford,ENG,7,7,660,2,8,79,16,20,1,1,-,0,0,2.2857142857142856,Reached Round of 16+
Gregor Kobel,SUI,6,6,600,2,6,68,17,25,0,0,-,0,0,2.8333333333333335,Reached Round of 16+
Diogo Costa,POR,5,5,450,2,3,69,19,28,0,0,-,0,0,3.8,Reached Round of 16+
Matt Freese,USA,4,4,360,2,5,39,8,21,0,0,-,0,0,2.0,Eliminated Early (Group Stage/R32)
Patrick Beach,AUS,4,4,389,2,3,58,14,24,0,0,-,0,0,3.5,Eliminated Early (Group Stage/R32)
Maxime Crepeau,CAN,5,5,450,2,6,27,6,22,0,0,-,0,0,1.2,Reached Round of 16+
Vozinha,CPV,4,4,390,2,5,66,18,27,0,0,-,0,0,4.5,Eliminated Early (Group Stage/R32)
Yahia Fofana,CIV,4,4,360,2,4,45,10,22,0,0,-,0,0,2.5,Eliminated Early (Group Stage/R32)
Yassine Bounou,MAR,6,6,570,2,6,60,17,28,1,1,-,0,0,2.8333333333333335,Reached Round of 16+
Orlando Gill,PAR,5,5,480,2,6,98,22,22,1,1,-,0,0,4.4,Reached Round of 16+
Angus Gunn,SCO,3,3,270,1,4,46,8,17,0,0,-,0,0,2.6666666666666665,Eliminated Early (Group Stage/R32)
Dominik Livakovic,CRO,4,4,360,1,7,49,11,22,2,2,-,0,0,2.75,Eliminated Early (Group Stage/R32)
Ronwen Williams,RSA,4,4,360,1,4,49,11,22,0,0,-,0,0,2.75,Eliminated Early (Group Stage/R32)
Mory Diaw,SEN,3,2,238,1,3,29,3,10,1,1,-,0,0,1.0,Eliminated Early (Group Stage/R32)
Hernan Galindez,ECU,4,4,360,1,4,52,9,17,0,0,-,0,0,2.25,Eliminated Early (Group Stage/R32)
Benjamin Asare,GHA,3,2,225,1,2,35,6,17,0,0,-,0,0,2.0,Eliminated Early (Group Stage/R32)
Alireza Beiranvand,IRN,3,3,270,1,3,49,12,24,0,0,-,0,0,4.0,Eliminated Early (Group Stage/R32)
Zion Suzuki,JPN,4,4,360,1,5,44,14,32,0,0,-,0,0,3.5,Eliminated Early (Group Stage/R32)
Eloy Room,CUW,3,3,270,1,9,60,18,30,1,1,-,0,0,6.0,Eliminated Early (Group Stage/R32)
